iter	Passed	Remaining
0	1	147
1	2	114
2	3	113
3	4	102
4	5	96
5	5	90
6	6	84
7	7	81
8	7	78
9	8	74
10	9	72
11	9	71
12	10	72
13	11	70
14	12	68
15	12	66
16	13	64
17	13	62
18	14	62
19	16	65
20	17	64
21	17	63
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	22	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	25	50
34	26	49
35	26	47
36	28	48
37	29	47
38	30	47
39	30	46
40	33	47
41	33	46
42	34	45
43	34	44
44	35	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	38	37
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	26
64	48	25
65	48	25
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	56	16
78	57	15
79	58	14
80	58	13
81	59	12
82	59	12
83	60	11
84	60	10
85	61	10
86	62	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	66	3
95	71	2
96	71	2
97	72	1
98	73	0
99	73	0
